,is_coi_pred,is_register_pred,is_fund_pred,is_open_code,is_open_data,PMID,Unnamed: 0.1,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Unnamed: 0
13790,True,False,True,False,False,28587664,15111,Characterization of tau prion seeding activity and strains from formaldehyde-fixed tissue,"Kaufman SK, Thomas TL, Del Tredici K, Braak H, Diamond MI.",Acta Neuropathol Commun. 2017 Jun 7;5(1):41. doi: 10.1186/s40478-017-0442-8.,Kaufman SK,Acta Neuropathol Commun,2017,2017/06/08,PMC5461712,,10.1186/s40478-017-0442-8,
13791,True,False,True,False,False,28587659,15112,Glutaminyl cyclase activity correlates with levels of Aβ peptides and mediators of angiogenesis in cerebrospinal fluid of Alzheimer's disease patients,"Bridel C, Hoffmann T, Meyer A, Durieux S, Koel-Simmelink MA, Orth M, Scheltens P, Lues I, Teunissen CE.",Alzheimers Res Ther. 2017 Jun 6;9(1):38. doi: 10.1186/s13195-017-0266-6.,Bridel C,Alzheimers Res Ther,2017,2017/06/08,PMC5461753,,10.1186/s13195-017-0266-6,
13793,True,False,True,False,False,28591195,15102,Hyponatremia and increased risk of dementia: A population-based retrospective cohort study,"Chung MC, Yu TM, Shu KH, Wu MJ, Chang CH, Muo CH, Chung CJ.",PLoS One. 2017 Jun 7;12(6):e0178977. doi: 10.1371/journal.pone.0178977. eCollection 2017.,Chung MC,PLoS One,2017,2017/06/08,PMC5462431,,10.1371/journal.pone.0178977,
13802,True,False,True,False,True,28594877,15087,An indicator cell assay for blood-based diagnostics,"Danziger SA, Miller LR, Singh K, Whitney GA, Peskind ER, Li G, Lipshutz RJ, Aitchison JD, Smith JJ.",PLoS One. 2017 Jun 8;12(6):e0178608. doi: 10.1371/journal.pone.0178608. eCollection 2017.,Danziger SA,PLoS One,2017,2017/06/09,PMC5464608,,10.1371/journal.pone.0178608,
13803,True,False,False,False,False,27823981,16833,Repetitive transcranial magnetic stimulation improves cognitive function of Alzheimer's disease patients,"Zhao J, Li Z, Cong Y, Zhang J, Tan M, Zhang H, Geng N, Li M, Yu W, Shan P.",Oncotarget. 2017 May 16;8(20):33864-33871. doi: 10.18632/oncotarget.13060.,Zhao J,Oncotarget,2017,2016/11/09,PMC5464918,,10.18632/oncotarget.13060,
13805,True,False,True,False,False,28420838,15521,Factors Associated with Pneumonia-caused Death in Older Adults with Autopsy-confirmed Dementia,"Manabe T, Mizukami K, Akatsu H, Hashizume Y, Ohkubo T, Kudo K, Hizawa N.",Intern Med. 2017;56(8):907-914. doi: 10.2169/internalmedicine.56.7879. Epub 2017 Apr 15.,Manabe T,Intern Med,2017,2017/04/20,PMC5465406,,10.2169/internalmedicine.56.7879,
13806,True,False,True,False,True,28595629,15084,Identification and description of three families with familial Alzheimer disease that segregate variants in the SORL1 gene,"Thonberg H, Chiang HH, Lilius L, Forsell C, Lindström AK, Johansson C, Björkström J, Thordardottir S, Sleegers K, Van Broeckhoven C, Rönnbäck A, Graff C.",Acta Neuropathol Commun. 2017 Jun 9;5(1):43. doi: 10.1186/s40478-017-0441-9.,Thonberg H,Acta Neuropathol Commun,2017,2017/06/10,PMC5465543,,10.1186/s40478-017-0441-9,
13809,True,False,True,False,False,28599675,15079,YKL-40 (Chitinase 3-like I) is expressed in a subset of astrocytes in Alzheimer's disease and other tauopathies,"Querol-Vilaseca M, Colom-Cadena M, Pegueroles J, San Martín-Paniello C, Clarimon J, Belbin O, Fortea J, Lleó A.",J Neuroinflammation. 2017 Jun 9;14(1):118. doi: 10.1186/s12974-017-0893-7.,Querol-Vilaseca M,J Neuroinflammation,2017,2017/06/11,PMC5466718,,10.1186/s12974-017-0893-7,
13810,True,False,True,False,False,28599681,15078,Brain-derived exosomes from dementia with Lewy bodies propagate α-synuclein pathology,"Ngolab J, Trinh I, Rockenstein E, Mante M, Florio J, Trejo M, Masliah D, Adame A, Masliah E, Rissman RA.",Acta Neuropathol Commun. 2017 Jun 9;5(1):46. doi: 10.1186/s40478-017-0445-5.,Ngolab J,Acta Neuropathol Commun,2017,2017/06/11,PMC5466770,,10.1186/s40478-017-0445-5,
13815,True,False,True,False,False,28634550,14999,Sortilin-Related Receptor Expression in Human Neural Stem Cells Derived from Alzheimer's Disease Patients Carrying the APOE Epsilon 4 Allele,"Zollo A, Allen Z, Rasmussen HF, Iannuzzi F, Shi Y, Larsen A, Maier TJ, Matrone C.",Neural Plast. 2017;2017:1892612. doi: 10.1155/2017/1892612. Epub 2017 May 28.,Zollo A,Neural Plast,2017,2017/06/22,PMC5467336,,10.1155/2017/1892612,
13817,True,False,True,True,False,28365743,15678,Automated PDF highlighting to support faster curation of literature for Parkinson's and Alzheimer's disease,"Wu H, Oellrich A, Girges C, de Bono B, Hubbard TJ, Dobson RJ.",Database (Oxford). 2017 Jan 1;2017(1):bax027. doi: 10.1093/database/bax027.,Wu H,Database (Oxford),2017,2017/04/03,PMC5467557,,10.1093/database/bax027,
13818,True,False,True,False,False,28578378,15136,Genome-Wide Profiling of miRNA and mRNA Expression in Alzheimer's Disease,"Chang WS, Wang YH, Zhu XT, Wu CJ.",Med Sci Monit. 2017 Jun 4;23:2721-2731. doi: 10.12659/msm.905064.,Chang WS,Med Sci Monit,2017,2017/06/05,PMC5467707,,10.12659/msm.905064,
13820,True,False,True,False,False,28505970,15306,Efficacy of Antidepressants for Depression in Alzheimer's Disease: Systematic Review and Meta-Analysis,"Orgeta V, Tabet N, Nilforooshan R, Howard R.",J Alzheimers Dis. 2017;58(3):725-733. doi: 10.3233/JAD-161247.,Orgeta V,J Alzheimers Dis,2017,2017/05/17,PMC5467718,,10.3233/JAD-161247,
13824,True,False,True,False,False,28606182,15066,Microglia limit the expansion of β-amyloid plaques in a mouse model of Alzheimer's disease,"Zhao R, Hu W, Tsai J, Li W, Gan WB.",Mol Neurodegener. 2017 Jun 12;12(1):47. doi: 10.1186/s13024-017-0188-6.,Zhao R,Mol Neurodegener,2017,2017/06/14,PMC5468952,,10.1186/s13024-017-0188-6,
13827,True,False,True,False,False,28612048,15052,Obesity Accelerates Alzheimer-Related Pathology in APOE4 but not APOE3 Mice,"Moser VA, Pike CJ.",eNeuro. 2017 Jun 13;4(3):ENEURO.0077-17.2017. doi: 10.1523/ENEURO.0077-17.2017. eCollection 2017 May-Jun.,Moser VA,eNeuro,2017,2017/06/15,PMC5469027,,10.1523/ENEURO.0077-17.2017,
13832,True,False,True,False,False,27941122,16614,First PET Imaging Studies With 63Zn-Zinc Citrate in Healthy Human Participants and Patients With Alzheimer Disease,"DeGrado TR, Kemp BJ, Pandey MK, Jiang H, Gunderson TM, Linscheid LR, Woodwick AR, McConnell DM, Fletcher JG, Johnson GB, Petersen RC, Knopman DS, Lowe VJ.",Mol Imaging. 2016 Dec 9;15:1536012116673793. doi: 10.1177/1536012116673793. Print 2016.,DeGrado TR,Mol Imaging,2016,2016/12/13,PMC5469518,,10.1177/1536012116673793,
13834,True,False,True,False,False,28611418,15054,Arrestins contribute to amyloid beta-induced cell death via modulation of autophagy and the α7nAch receptor in SH-SY5Y cells,"Liu YQ, Jia MQ, Xie ZH, Liu XF, Hui-Yang, Zheng XL, Yuan HQ, Bi JZ.",Sci Rep. 2017 Jun 13;7(1):3446. doi: 10.1038/s41598-017-01798-x.,Liu YQ,Sci Rep,2017,2017/06/15,PMC5469748,,10.1038/s41598-017-01798-x,
13838,False,False,False,,,18430980,37321,Neuropsychological rehabilitation in mild and moderate Alzheimer's disease patients,"Avila R, Carvalho IA, Bottino CM, Miotto EC.",Behav Neurol. 2007;18(4):225-33. doi: 10.1155/2007/915816.,Avila R,Behav Neurol,2007,2008/04/24,PMC5469953,,10.1155/2007/915816,
13839,False,False,False,,,17726241,37533,Movements execution in amnestic mild cognitive impairment and Alzheimer's disease,"Camarda R, Camarda C, Monastero R, Grimaldi S, Camarda LK, Pipia C, Caltagirone C, Gangitano M.",Behav Neurol. 2007;18(3):135-42. doi: 10.1155/2007/845914.,Camarda R,Behav Neurol,2007,2007/08/30,PMC5469954,,10.1155/2007/845914,
13842,False,False,False,False,False,17297213,37638,The effects of a comprehensive rehabilitation program of Alzheimer's Disease in a hospital setting,"Raggi A, Iannaccone S, Marcone A, Ginex V, Ortelli P, Nonis A, Giusti MC, Cappa SF.",Behav Neurol. 2007;18(1):1-6. doi: 10.1155/2007/782959.,Raggi A,Behav Neurol,2007,2007/02/14,PMC5469961,,10.1155/2007/782959,
13847,True,False,True,False,False,27030402,18440,The Effects of Physiological and Methodological Determinants on 18F-FDG Mouse Brain Imaging Exemplified in a Double Transgenic Alzheimer Model,"Deleye S, Waldron AM, Richardson JC, Schmidt M, Langlois X, Stroobants S, Staelens S.",Mol Imaging. 2016 Feb 11;15:1536012115624919. doi: 10.1177/1536012115624919. Print 2016.,Deleye S,Mol Imaging,2016,2016/04/01,PMC5470082,,10.1177/1536012115624919,
13848,True,False,True,False,False,27030397,18441,Comparison of New Tau PET-Tracer Candidates With [18F]T808 and [18F]T807,"Declercq L, Celen S, Lecina J, Ahamed M, Tousseyn T, Moechars D, Alcazar J, Ariza M, Fierens K, Bottelbergs A, Mariën J, Vandenberghe R, Andres IJ, Van Laere K, Verbruggen A, Bormans G.",Mol Imaging. 2016 Jan 27;15:1536012115624920. doi: 10.1177/1536012115624920. Print 2016.,Declercq L,Mol Imaging,2016,2016/04/01,PMC5470083,,10.1177/1536012115624920,
13849,True,False,True,False,False,28654383,14941,Brain and Brown Adipose Tissue Metabolism in Transgenic Tg2576 Mice Models of Alzheimer Disease Assessed Using (18)F-FDG PET Imaging,"Coleman RA, Liang C, Patel R, Ali S, Mukherjee J.",Mol Imaging. 2017 Jan 1;16:1536012117704557. doi: 10.1177/1536012117704557.,Coleman RA,Mol Imaging,2017,2017/06/28,PMC5470140,,10.1177/1536012117704557,
13854,False,False,True,False,False,28638877,14981,PROTECTIVE EFFECT OF IRIS GERMANICA L. IN Β-AMYLOID-INDUCED ANIMAL MODEL OF ALZHEIMER'S DISEASE,"Borhani M, Sharifzadeh M, Farzaei MH, Narimani Z, Sabbaghziarani F, Gholami M, Rahimi R.",Afr J Tradit Complement Altern Med. 2017 Jun 5;14(4):140-148. doi: 10.21010/ajtcam.v14i4.17. eCollection 2017.,Borhani M,Afr J Tradit Complement Altern Med,2017,2017/06/23,PMC5471461,,10.21010/ajtcam.v14i4.17,
13856,False,False,False,False,False,16720956,37733,Current and emerging pharmacological treatment options for dementia,"Ringman JM, Cummings JL.",Behav Neurol. 2006;17(1):5-16. doi: 10.1155/2006/315386.,Ringman JM,Behav Neurol,2006,2006/05/25,PMC5471530,,10.1155/2006/315386,
13858,False,False,False,False,False,16873919,37713,Can cognitive and behavioural disorders differentiate frontal variant-frontotemporal dementia from Alzheimer's disease at early stages?,"Jenner C, Reali G, Puopolo M, Silveri MC.",Behav Neurol. 2006;17(2):89-95. doi: 10.1155/2006/812760.,Jenner C,Behav Neurol,2006,2006/07/29,PMC5471534,,10.1155/2006/812760,
13862,True,False,True,False,False,28617831,15044,Depression in dementia with Lewy bodies: A comparison with Alzheimer's disease,"Chiu PY, Wang CW, Tsai CT, Li SH, Lin CL, Lai TJ.",PLoS One. 2017 Jun 15;12(6):e0179399. doi: 10.1371/journal.pone.0179399. eCollection 2017.,Chiu PY,PLoS One,2017,2017/06/16,PMC5472293,,10.1371/journal.pone.0179399,
13867,True,False,True,False,False,28522792,15274,Transgenic autoinhibition of p21-activated kinase exacerbates synaptic impairments and fronto-dependent behavioral deficits in an animal model of Alzheimer's disease,"Bories C, Arsenault D, Lemire M, Tremblay C, De Koninck Y, Calon F.",Aging (Albany NY). 2017 May 16;9(5):1386-1403. doi: 10.18632/aging.101239.,Bories C,Aging (Albany NY),2017,2017/05/20,PMC5472739,,10.18632/aging.101239,
13869,True,False,True,False,False,28619096,15041,Presenilins regulate synaptic plasticity and mitochondrial calcium homeostasis in the hippocampal mossy fiber pathway,"Lee SH, Lutz D, Mossalam M, Bolshakov VY, Frotscher M, Shen J.",Mol Neurodegener. 2017 Jun 15;12(1):48. doi: 10.1186/s13024-017-0189-5.,Lee SH,Mol Neurodegener,2017,2017/06/17,PMC5472971,,10.1186/s13024-017-0189-5,
13871,False,False,True,False,False,28476886,15360,Amyloid β production is regulated by β2-adrenergic signaling-mediated post-translational modifications of the ryanodine receptor,"Bussiere R, Lacampagne A, Reiken S, Liu X, Scheuerman V, Zalk R, Martin C, Checler F, Marks AR, Chami M.",J Biol Chem. 2017 Jun 16;292(24):10153-10168. doi: 10.1074/jbc.M116.743070. Epub 2017 May 5.,Bussiere R,J Biol Chem,2017,2017/05/07,PMC5473221,,10.1074/jbc.M116.743070,
13874,True,False,True,False,True,28622343,15037,Association of Alzhemier's disease with hepatitis C among patients with bipolar disorder,"Lin HC, Xirasagar S, Lee HC, Huang CC, Chen CH.",PLoS One. 2017 Jun 16;12(6):e0179312. doi: 10.1371/journal.pone.0179312. eCollection 2017.,Lin HC,PLoS One,2017,2017/06/17,PMC5473552,,10.1371/journal.pone.0179312,
13878,True,False,True,False,False,28623948,15031,"One-carbon metabolism, cognitive impairment and CSF measures of Alzheimer pathology: homocysteine and beyond","Dayon L, Guiraud SP, Corthésy J, Da Silva L, Migliavacca E, Tautvydaitė D, Oikonomidi A, Moullet B, Henry H, Métairon S, Marquis J, Descombes P, Collino S, Martin FJ, Montoliu I, Kussmann M, Wojcik J, Bowman GL, Popp J.",Alzheimers Res Ther. 2017 Jun 17;9(1):43. doi: 10.1186/s13195-017-0270-x.,Dayon L,Alzheimers Res Ther,2017,2017/06/19,PMC5473969,,10.1186/s13195-017-0270-x,
13884,True,False,True,False,True,28628634,15023,Protein signature in cerebrospinal fluid and serum of Alzheimer's disease patients: The case of apolipoprotein A-1 proteoforms,"Fania C, Arosio B, Capitanio D, Torretta E, Gussago C, Ferri E, Mari D, Gelfi C.",PLoS One. 2017 Jun 19;12(6):e0179280. doi: 10.1371/journal.pone.0179280. eCollection 2017.,Fania C,PLoS One,2017,2017/06/20,PMC5476270,,10.1371/journal.pone.0179280,
13886,False,False,True,False,False,28652970,14946,APPswe/PS1dE9 mice with cortical amyloid pathology show a reduced NAA/Cr ratio without apparent brain atrophy: A MRS and MRI study,"Kuhla A, Rühlmann C, Lindner T, Polei S, Hadlich S, Krause BJ, Vollmar B, Teipel SJ.",Neuroimage Clin. 2017 Jun 9;15:581-586. doi: 10.1016/j.nicl.2017.06.009. eCollection 2017.,Kuhla A,Neuroimage Clin,2017,2017/06/28,PMC5476467,,10.1016/j.nicl.2017.06.009,
13888,True,False,True,False,False,28630497,15016,Chronic treatment with a smart antioxidative nanoparticle for inhibition of amyloid plaque propagation in Tg2576 mouse model of Alzheimer's disease,"Boonruamkaew P, Chonpathompikunlert P, Vong LB, Sakaue S, Tomidokoro Y, Ishii K, Tamaoka A, Nagasaki Y.",Sci Rep. 2017 Jun 19;7(1):3785. doi: 10.1038/s41598-017-03411-7.,Boonruamkaew P,Sci Rep,2017,2017/06/21,PMC5476667,,10.1038/s41598-017-03411-7,
13890,True,True,True,False,False,28629447,15021,Transcranial direct current stimulation for depression in Alzheimer's disease: study protocol for a randomized controlled trial,"Narita Z, Yokoi Y.",Trials. 2017 Jun 19;18(1):285. doi: 10.1186/s13063-017-2019-z.,Narita Z,Trials,2017,2017/06/21,PMC5477338,,10.1186/s13063-017-2019-z,
13893,True,False,True,False,False,28633628,15007,Olfactory testing in consecutive patients referred with suspected dementia,"Christensen IT, Larsson EM, Holm IE, Nielsen OBF, Andersen S.",BMC Geriatr. 2017 Jun 20;17(1):129. doi: 10.1186/s12877-017-0516-2.,Christensen IT,BMC Geriatr,2017,2017/06/22,PMC5477688,,10.1186/s12877-017-0516-2,
13896,True,False,True,False,False,28632787,15009,Risk of Alzheimer's disease or dementia following a cancer diagnosis,"Bowles EJA, Walker RL, Anderson ML, Dublin S, Crane PK, Larson EB.",PLoS One. 2017 Jun 20;12(6):e0179857. doi: 10.1371/journal.pone.0179857. eCollection 2017.,Bowles EJA,PLoS One,2017,2017/06/21,PMC5478144,,10.1371/journal.pone.0179857,
13899,True,False,True,False,False,28634323,15004,Intestinal microbial dysbiosis aggravates the progression of Alzheimer's disease in Drosophila,"Wu SC, Cao ZS, Chang KM, Juang JL.",Nat Commun. 2017 Jun 20;8(1):24. doi: 10.1038/s41467-017-00040-6.,Wu SC,Nat Commun,2017,2017/06/22,PMC5478647,,10.1038/s41467-017-00040-6,
13900,True,False,True,False,False,28634382,15000,Expression of P301L-hTau in mouse MEC induces hippocampus-dependent memory deficit,"Liu X, Zeng K, Li M, Wang Q, Liu R, Zhang B, Wang JZ, Shu X, Wang X.",Sci Rep. 2017 Jun 20;7(1):3914. doi: 10.1038/s41598-017-04305-4.,Liu X,Sci Rep,2017,2017/06/22,PMC5478664,,10.1038/s41598-017-04305-4,
13904,False,False,False,,,16082076,37815,Posterior cortical atrophy: clinical presentation and cognitive deficits compared to Alzheimer's disease,"Charles RF, Hillis AE.",Behav Neurol. 2005;16(1):15-23. doi: 10.1155/2005/762569.,Charles RF,Behav Neurol,2005,2005/08/06,PMC5478852,,10.1155/2005/762569,
13907,True,False,True,False,False,27573878,17347,p62 improves AD-like pathology by increasing autophagy,"Caccamo A, Ferreira E, Branca C, Oddo S.",Mol Psychiatry. 2017 Jun;22(6):865-873. doi: 10.1038/mp.2016.139. Epub 2016 Aug 30.,Caccamo A,Mol Psychiatry,2017,2016/08/31,PMC5479312,NIHMS800494,10.1038/mp.2016.139,
13908,True,False,True,False,True,28636628,14993,Effects of Spirulina on the functions and redox status of auditory system in senescence-accelerated prone-8 mice,"Chan YC, Hwang JH.",PLoS One. 2017 Jun 21;12(6):e0178916. doi: 10.1371/journal.pone.0178916. eCollection 2017.,Chan YC,PLoS One,2017,2017/06/22,PMC5479523,,10.1371/journal.pone.0178916,
13910,True,False,True,False,True,28636676,14991,Mitochondrion to endoplasmic reticulum apposition length in zebrafish embryo spinal progenitors is unchanged in response to perturbations associated with Alzheimer's disease,"Newman M, Halter L, Lim A, Lardelli M.",PLoS One. 2017 Jun 21;12(6):e0179859. doi: 10.1371/journal.pone.0179859. eCollection 2017.,Newman M,PLoS One,2017,2017/06/22,PMC5479591,,10.1371/journal.pone.0179859,
13911,True,False,True,False,False,28691099,14844,Selective targeting of primary and secondary nucleation pathways in Aβ42 aggregation using a rational antibody scanning method,"Aprile FA, Sormanni P, Perni M, Arosio P, Linse S, Knowles TPJ, Dobson CM, Vendruscolo M.",Sci Adv. 2017 Jun 21;3(6):e1700488. doi: 10.1126/sciadv.1700488. eCollection 2017 Jun.,Aprile FA,Sci Adv,2017,2017/07/11,PMC5479649,,10.1126/sciadv.1700488,
13914,True,False,True,False,False,27979768,16577,A state of delirium: Deciphering the effect of inflammation on tau pathology in Alzheimer's disease,"Barron M, Gartlon J, Dawson LA, Atkinson PJ, Pardon MC.",Exp Gerontol. 2017 Aug;94:103-107. doi: 10.1016/j.exger.2016.12.006. Epub 2016 Dec 12.,Barron M,Exp Gerontol,2017,2016/12/17,PMC5479936,,10.1016/j.exger.2016.12.006,
13918,True,False,True,False,False,28391039,15605,Divergent functional connectivity during attentional processing in Lewy body dementia and Alzheimer's disease,"Kobeleva X, Firbank M, Peraza L, Gallagher P, Thomas A, Burn DJ, O'Brien J, Taylor JP.",Cortex. 2017 Jul;92:8-18. doi: 10.1016/j.cortex.2017.02.016. Epub 2017 Mar 18.,Kobeleva X,Cortex,2017,2017/04/10,PMC5480774,,10.1016/j.cortex.2017.02.016,
13919,True,False,True,False,False,28646794,14962,Dexibuprofen prevents neurodegeneration and cognitive decline in APPswe/PS1dE9 through multiple signaling pathways,"Ettcheto M, Sánchez-López E, Pons L, Busquets O, Olloquequi J, Beas-Zarate C, Pallas M, García ML, Auladell C, Folch J, Camins A.",Redox Biol. 2017 Oct;13:345-352. doi: 10.1016/j.redox.2017.06.003. Epub 2017 Jun 15.,Ettcheto M,Redox Biol,2017,2017/06/25,PMC5480981,,10.1016/j.redox.2017.06.003,
13923,True,False,True,False,False,28642572,14974,Disrupted pursuit compensation during self-motion perception in early Alzheimer's disease,"Wang J, Guo X, Zhuang X, Chen T, Yan W.",Sci Rep. 2017 Jun 22;7(1):4049. doi: 10.1038/s41598-017-04377-2.,Wang J,Sci Rep,2017,2017/06/24,PMC5481347,,10.1038/s41598-017-04377-2,
13927,True,False,True,False,False,28645294,14966,"3,5,4'-trihydroxy-6,7,3'-trimethoxyflavone protects against beta amyloid-induced neurotoxicity through antioxidative activity and interference with cell signaling","Telerman A, Ofir R, Kashman Y, Elmann A.",BMC Complement Altern Med. 2017 Jun 23;17(1):332. doi: 10.1186/s12906-017-1840-y.,Telerman A,BMC Complement Altern Med,2017,2017/06/25,PMC5481959,,10.1186/s12906-017-1840-y,
13932,True,False,True,False,False,15659242,37852,"Rivastigmine: an open-label, observational study of safety and effectiveness in treating patients with Alzheimer's disease for up to 5 years","Farlow MR, Lilly ML; ENA713 B352 Study Group.",BMC Geriatr. 2005 Jan 19;5:3. doi: 10.1186/1471-2318-5-3.,Farlow MR,BMC Geriatr,2005,2005/01/22,PMC548267,,10.1186/1471-2318-5-3,
13936,True,False,True,False,False,28646899,14961,Immunoproteasome deficiency alters microglial cytokine response and improves cognitive deficits in Alzheimer's disease-like APPPS1 mice,"Wagner LK, Gilling KE, Schormann E, Kloetzel PM, Heppner FL, Krüger E, Prokop S.",Acta Neuropathol Commun. 2017 Jun 24;5(1):52. doi: 10.1186/s40478-017-0453-5.,Wagner LK,Acta Neuropathol Commun,2017,2017/06/26,PMC5483273,,10.1186/s40478-017-0453-5,
13937,True,False,True,False,True,28530811,15261,Multitargeted Imidazoles: Potential Therapeutic Leads for Alzheimer's and Other Neurodegenerative Diseases,"Cornec AS, Monti L, Kovalevich J, Makani V, James MJ, Vijayendran KG, Oukoloff K, Yao Y, Lee VM, Trojanowski JQ, Smith AB 3rd, Brunden KR, Ballatore C.",J Med Chem. 2017 Jun 22;60(12):5120-5145. doi: 10.1021/acs.jmedchem.7b00475. Epub 2017 Jun 8.,Cornec AS,J Med Chem,2017,2017/05/23,PMC5483893,,10.1021/acs.jmedchem.7b00475,
13938,True,False,True,False,False,28640143,14978,Relationship between postural instability and subcortical volume loss in Alzheimer's disease,"Lee YW, Lee H, Chung IS, Yi HA.",Medicine (Baltimore). 2017 Jun;96(25):e7286. doi: 10.1097/MD.0000000000007286.,Lee YW,Medicine (Baltimore),2017,2017/06/23,PMC5484251,,10.1097/MD.0000000000007286,
13942,True,False,True,False,False,28650998,14954,Functional annotation of Alzheimer's disease associated loci revealed by GWASs,"Han Z, Huang H, Gao Y, Huang Q.",PLoS One. 2017 Jun 26;12(6):e0179677. doi: 10.1371/journal.pone.0179677. eCollection 2017.,Han Z,PLoS One,2017,2017/06/27,PMC5484478,,10.1371/journal.pone.0179677,
13943,True,False,True,False,True,28650994,14955,Abnormal global functional network connectivity and its relationship to medial temporal atrophy in patients with amnestic mild cognitive impairment,"Sheng C, Xia M, Yu H, Huang Y, Lu Y, Liu F, He Y, Han Y.",PLoS One. 2017 Jun 26;12(6):e0179823. doi: 10.1371/journal.pone.0179823. eCollection 2017.,Sheng C,PLoS One,2017,2017/06/27,PMC5484500,,10.1371/journal.pone.0179823,
13948,True,False,True,False,False,27996096,16542,Super-resolution structure of DNA significantly differs in buccal cells of controls and Alzheimer's patients,"Garcia A, Huang D, Righolt A, Righolt C, Kalaw MC, Mathur S, McAvoy E, Anderson J, Luedke A, Itorralba J, Mai S.",J Cell Physiol. 2017 Sep;232(9):2387-2395. doi: 10.1002/jcp.25751. Epub 2017 Mar 28.,Garcia A,J Cell Physiol,2017,2016/12/21,PMC5485033,,10.1002/jcp.25751,
13953,False,False,True,False,False,28702344,14807,Directional information flow in patients with Alzheimer's disease. A source-space resting-state MEG study,"Engels MMA, Yu M, Stam CJ, Gouw AA, van der Flier WM, Scheltens P, van Straaten ECW, Hillebrand A.",Neuroimage Clin. 2017 Jun 17;15:673-681. doi: 10.1016/j.nicl.2017.06.025. eCollection 2017.,Engels MMA,Neuroimage Clin,2017,2017/07/14,PMC5486371,,10.1016/j.nicl.2017.06.025,
13960,True,False,True,False,True,28654636,14940,Human cyclophilin 40 unravels neurotoxic amyloids,"Baker JD, Shelton LB, Zheng D, Favretto F, Nordhues BA, Darling A, Sullivan LE, Sun Z, Solanki PK, Martin MD, Suntharalingam A, Sabbagh JJ, Becker S, Mandelkow E, Uversky VN, Zweckstetter M, Dickey CA, Koren J 3rd, Blair LJ.",PLoS Biol. 2017 Jun 27;15(6):e2001336. doi: 10.1371/journal.pbio.2001336. eCollection 2017 Jun.,Baker JD,PLoS Biol,2017,2017/06/28,PMC5486962,,10.1371/journal.pbio.2001336,
13963,True,False,True,False,False,28655926,14933,"Effect of high fat diet on phenotype, brain transcriptome and lipidome in Alzheimer's model mice","Nam KN, Mounier A, Wolfe CM, Fitz NF, Carter AY, Castranio EL, Kamboh HI, Reeves VL, Wang J, Han X, Schug J, Lefterov I, Koldamova R.",Sci Rep. 2017 Jun 27;7(1):4307. doi: 10.1038/s41598-017-04412-2.,Nam KN,Sci Rep,2017,2017/06/29,PMC5487356,,10.1038/s41598-017-04412-2,
13967,True,False,True,False,False,28435985,15479,"Elucidating the Aβ42 Anti-Aggregation Mechanism of Action of Tramiprosate in Alzheimer's Disease: Integrating Molecular Analytical Methods, Pharmacokinetic and Clinical Data","Kocis P, Tolar M, Yu J, Sinko W, Ray S, Blennow K, Fillit H, Hey JA.",CNS Drugs. 2017 Jun;31(6):495-509. doi: 10.1007/s40263-017-0434-z.,Kocis P,CNS Drugs,2017,2017/04/25,PMC5488121,,10.1007/s40263-017-0434-z,
13968,True,False,True,False,False,28655337,14938,Long-term cognitive outcome of Alzheimer's disease and dementia with Lewy bodies: dual disease is worse,"Blanc F, Mahmoudi R, Jonveaux T, Galmiche J, Chopard G, Cretin B, Demuynck C, Martin-Hunyadi C, Philippi N, Sellal F, Michel JM, Tio G, Stackfleth M, Vandel P, Magnin E, Novella JL, Kaltenbach G, Benetos A, Sauleau EA.",Alzheimers Res Ther. 2017 Jun 27;9(1):47. doi: 10.1186/s13195-017-0272-8.,Blanc F,Alzheimers Res Ther,2017,2017/06/29,PMC5488368,,10.1186/s13195-017-0272-8,
13969,True,False,True,False,False,28655344,14937,Prevention of dendritic and synaptic deficits and cognitive impairment with a neurotrophic compound,"Baazaoui N, Iqbal K.",Alzheimers Res Ther. 2017 Jun 27;9(1):45. doi: 10.1186/s13195-017-0273-7.,Baazaoui N,Alzheimers Res Ther,2017,2017/06/29,PMC5488423,,10.1186/s13195-017-0273-7,
13975,False,False,True,False,False,28315450,15807,Phospholipid oxidation and carotenoid supplementation in Alzheimer's disease patients,"Ademowo OS, Dias HKI, Milic I, Devitt A, Moran R, Mulcahy R, Howard AN, Nolan JM, Griffiths HR.",Free Radic Biol Med. 2017 Jul;108:77-85. doi: 10.1016/j.freeradbiomed.2017.03.008. Epub 2017 Mar 14.,Ademowo OS,Free Radic Biol Med,2017,2017/03/19,PMC5488966,,10.1016/j.freeradbiomed.2017.03.008,
13982,True,False,True,False,False,28662102,14919,A novel monoclonal antibody against the N-terminus of Aβ1-42 reduces plaques and improves cognition in a mouse model of Alzheimer's disease,"Xing HY, Li B, Peng D, Wang CY, Wang GY, Li P, Le YY, Wang JM, Ye G, Chen JH.",PLoS One. 2017 Jun 29;12(6):e0180076. doi: 10.1371/journal.pone.0180076. eCollection 2017.,Xing HY,PLoS One,2017,2017/06/30,PMC5491112,,10.1371/journal.pone.0180076,
